,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
197,"The Eden Mill Single Malt 2018 Release is the first in an annual series which will build over the coming years. We thought it was only appropriate to release this whisky on St Andrews Day.
 
The 2018 Release represents the ultimate blend of some of the best 'honey' casks our distilling team have chosen. 
 
The golden-amber expression comes from a mix of golden promise and propino barley strains and represents the ultimate blend of some of the best ‘honey’ casks Eden Mill’s distilling team have chosen.
 
Young casks have been selected, varying in both size and style including, four of the finest Olorosso Sherry hogsheads, four outstanding ex-bourbon first fill American standard barrels and a few exceptional octave barrels which previously held Pedro Ximinez sherry. 

The whisky is presented in a premium crisp, white box – perfect for those looking to add to their whisky collection this festive period.",Scotch Whisky,700mL,25,46.5%,Scotland,Eden Mill,Stopper,Single Malt,no_information,no_information
198,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
199,no_information,"Gin, Lavender Malt, Whisky",50mL,4.9,46%,Australia,Tasmania,Old Kempton Distillery,Fruit,Screw Cap,Single Malt
200,"Crafted by the talented Glasgow Distillery team of young distillers, Glasgow Distillery is proud to release their first single malt scotch whisky: 1770.

Merging tradition with innovation, we wanted to bring their creation, a single malt that embodied Glasgow – original, distinctive and inventive.

Laid down in first-fill American Oak bourbon casks, 1770 is finished in virgin oak to deliver a full, well rounded palate.
  Notes of Red berries, Pear, Toffee, Vanilla, Marzipan Honey and Pineapple and Hints of Pepper and Liquorice.",Whisky,500mL,17,46%,Scotland,5 Year Old,Glasgow Distillery,Dried Fruits,Cork,Single Malt
201,The Arran 14-year-old is a smooth richly expression of the Arran Malt bursting with character and complexity. The extra years of maturation have added a depth of sweetness and spice to create a fully rounded and satisfying dram. The Arran Malt is the only distillery on the Isle of Arran and a proudly independent Scottish company. Independently owned...independently minded.,Scotch Whisky,700mL,25.4,46.00%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
202,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
203,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
204,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
205,no_information,no_information,700mL,Highland,25.4,46%,Scotland,AnCnoc,Cork,Single Malt,no_information
206,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
207,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
208,no_information,no_information,no_information,no_information,no_information,40.00%,Scotland,anCnoc,Single Malt,no_information,no_information
209,"Outlawed in 1661 by King Charles, Poitin production was forced into the wilderness where it enjoyed an illicit romanticism as Ireland's notorious Moonshine. Aged for 6 months in virgin Irish oak and a further 6 months in Sherry casks, it extracts some more depth of flavour and adds honey and raisins. Velvet in the mouth and light-amber colour with a smoky wood finish.",Irish Whiskey,700mL,Glendalough,22,40.00%,Ireland,Glendalough,Screw Cap,Single Malt,no_information
210,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
211,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
212,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
213,"On The Eye: Warm gold.
Breathe In: Vanilla fudge, sea air and peat smoke, balanced beautifully by honeycomb and cinnamon spice.
Sip: Citrus, gentle saltiness and vanilla with flakes of coconut.
Savour: Peat smoke, bourbon vanilla and lime.",700mL,Islay,22,40%,Scotland,Bowmore,Cork,Single Malt,no_information,no_information
214,"SMALL BATCH INDEPENDENT SPIRITS 

Civilized White Dog Whiskey unoaked and distilled from wheat to impact a clean, crisp,sweet finishing whiskey. Mike Hall hand selects the perfect wheat and draws pure, pH-neutral water from our well, creating the foundation for our White Dog Whiskey with its faint sweetness and uncommon smoothness.

White Dog Whiskey is distilled from wheat to impact a clean, crisp, sweet finishing whiskey. You’ll find no need to search for nuances that may not be there. All you’ll get is the truth - a refined, micro-batch whiskey of the highest, uncompromising quality.",750mL,23.67,40%,USA,Civilized Spirits,Stopper,Single Malt,Whisky Liqueurs,no_information,no_information
215,no_information,no_information,700mL,Speyside,22.1,40.00%,Scotland,10 Year Old,Gordon & Macphail,Cork,Single Malt
216,no_information,no_information,no_information,no_information,25.8,46.80%,Scotland,35 Year Old,Glengoyne,Cork,Single Malt
217,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
218,no_information,no_information,700mL,Islay,27.6,49.90%,Scotland,Ardbeg,Cork,Single Malt,no_information
219,"With only 309 bottles produced worldwide, the Last Drop 1968 Single Malt Scotch Whisky is the ultimate in rare and collectible whiskies. Cask 13508 yielded 141 bottle sets. Complex, mellow aromas are at once fruity and herbal with an elusive whiff of scented smoke, a trace of cigar boxes and after a while a hint of candlewax. The texture is oily and the taste sweet and centre palate, with some saltiness and peppery spice in the long warming finish and a slightly mentholic aftertaste. Comes with a 50mL miniature, elegant leather box and booklet.",700mL,Speyside,27.7,50.2%,Scotland,50 Year Old,The Last Drop,Cork,Single Malt,no_information
220,no_information,no_information,no_information,Various,Scotland,Glenglassaugh,Cork,Single Malt,no_information,no_information,no_information
221,"Celebrating its extraordinary journey and its recovery by Master Distiller, Ian MacMillan, is its label. Specially created by renowned Scots illustrator Iain McIntosh it retraces the story from the water source at Margadale Spring to Bunnahabhain Distillery, from the ledgers to the turney casks - the illustration recounts the timeless passion and dedication which has gone into this truly exceptional whisky.",Scotch Whisky,700mL,Islay,23,41.70%,Scotland,40 Year Old,Bunnahabhain,Cork,Single Malt
222,"This very limited edition of Single Malt, was specially vatted from the cellars of two Mars Whisky distilleries and bottled in early 2018. Originally distilled at Mars Shinshu Distillery in Nagano Prefecture in 2014 and then a portion of it was aged in bourbon and American white oak casks at Shinshu Distillery. The remaining portion was sent to Mars Tsunuki Distillery in Kagoshima, and aged in bourbon casks. Tsunuki is some 1000km south-west of Shinshu, and the cool climate and high altitude in Shinshu versus the warm and tropical climate in Tsunuki, provide a different ageing environment that give interesting individual characters in the final whisky when bottled. It is quite complex with a gentle texture, with plum and vanilla notes on the palate with a hint of peat and sweet honey on the finish.",Japanese Whisky,700mL,25,46%,Japan,Mars,Screw Cap,Single Malt,no_information,no_information
223,no_information,Scotch Whisky,750mL,Speyside,26,43.4%,Scotland,20 Year Old,Mortlach,Cork,Single Malt
224,"Langskip is Wolfburn’s first (near) cask-strength release. 
Matured entirely in first-fill Bourbon casks for over five years, making Langskip the distillery’s oldest Whisky to date.",Scotch Whisky,700mL,32,58%,Scotland,Wolfburn,Single Malt,no_information,no_information,no_information
225,no_information,700mL,28,50%,India,Amrut,Cork,Single Malt,no_information,no_information,no_information
226,"The whisky bottled as The GlenDronach ‘Grandeur’ has been specially selected by our Master Blender, Rachel Barrie, from some of our oldest and most unique sherry casks at GlenDronach. A selection of barrels, hogsheads, puncheons and butts have been maturing in our traditional dunnage warehouses since the 1960s, and it is the most extraordinary and remarkable of sherry casks that have been chosen for this very special bottling of twenty-seven-year-old whisky.

This superb expression is a fantastic representation of the smooth, complex and full-bodied style that The GlenDronach Distillery is famous for. Individually numbered by hand, each bottle is a one-off and truly unique.",Scotch Whisky,700mL,Highland,27.6,50.1%,Scotland,The GlenDronach,Cork,Single Malt,no_information
227,"The Highland Park 30 Year Old has a fudgy sweetness that characterises the more mature Highland Park, combined with complex aromatic spices as well as dark chocolate orange and floral peat notes. Dry at the finish, it leaves an aromatic smoky flavour and a mouth-watering hint of mild, salty sea spray – the result of 30 years’ maturation on Orkney’s windswept island environment.",Scotch Whisky,700mL,25.2,45.7%,Scotland,30 Year Old,Highland Park,Single Malt,no_information,no_information
228,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
229,"A very complex whisky that moves smoothly from waxy high notes of rich fruit and sweet butterscotch, through deep warmth, to the silky, dark dryness of an aromatic finish. Evocative, confident and joyful, it is astonishingly fresh yet speaks of the past, layering the classic coastal ozone, brine and peat with fragrant, fruity complexity and sweet warmth and even easier to enjoy with water, which exposes its lighter side and raises more elegant layers of creamy flavour.",Scotch Whisky,700mL,Highland,30.3,54.90%,Scotland,Clynelish,Cork,Single Malt,no_information
230,"This Pittyvaich 25 Year Old was distilled in 1989 and has lived longer than the distillery did. This limited edition whisky is easy to drink at natural strength yet is also a complex, attractive and slender whisky, ideal for after dinner contemplation: well balanced, with a sweet, malty nose and palate, and also a refined oiliness and subtle pungency, with a smooth, aromatic and drying conclusion. Just 5922 individually numbered bottles available world-wide.",Scotch Whisky,700mL,Speyside,27.6,49.90%,Scotland,25 Year Old,Pittyvaich,Cork,Single Malt
231,"Craigellachie 23 Year Old Single Malt Scotch Whisky is a masterpiece in old fashioned whisky making. This 23 year old has added spice, ripe fresh cooked and dried fruits with a touch of light peat smoke on the nose. The palate is filled with flavours of melted white chocolate, baked pineapple followed by spicy oak towards the finish. It is complex, deep and well structured. An elegant Scotch Whisky that could be enjoyed neat, on the rocks or with a dash of water.",Scotch Whisky,700mL,Speyside,25.4,46.00%,Scotland,Craigellachie,Screw Cap,Single Malt,no_information
232,no_information,no_information,700mL,25.4,46.00%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
233,A lightly peated Whisky made from malted barley infused with peat smoke (10 ppm) during the drying process. Matured in ex-Bourbon barrels and quarter casks.,Scotch Whisky,700mL,25.4,46%,Scotland,Wolfburn,Single Malt,no_information,no_information,no_information
234,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt,no_information
235,"From a closed distillery, the oldest 1989 Pittyvaich yet in this series, with only 4,680 bottles available worldwide. Complex and compelling; light and straightforward, yet also full-flavoured and forceful. Opened in 1975, Pittyvaich was one of the shortest-lived distilleries ever built on Speyside; the innocent victim of industry restructuring, it closed in 1993 through no fault of its whisky and has long since been demolished. Unsurprisingly, its pleasing single malt has never been widely available, though it has been proven to age well; none younger than 25 years of age remains. Most closed distilleries have produced for decades, even centuries before their closure, but
Pittyvaich lived for a mere eighteen years. The name is Gaelic and may refer to an early dwelling on the site, a ‘farmstead at the birch wood’. The distillery was, however, an impressive and ultramodern state of the art building, built around stills that were an exact replica of those at Dufftown, then its sister distillery. Pittyvaich, it was said, was designed around its plant and not, as is often the case with older distilleries, vice versa",Single Malt Scotch Whisky,700,Speyside,28.76,52.1,Scotland,28 Year Old,Pittyvaich,,
236,"Our Ex-pinot cask Single Malt Whisky is matured using 20L and 100L Barrels in our 1840’s stable. A stunning caramel colour with brown sugar on the nose, a long finish and smooth palate. Enjoy neat or over ice.",Whisky,500mL,18,46%,Australia,Tasmania,Old Kempton Distillery,Single Malt,no_information,no_information
237,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt,no_information,no_information,no_information
238,"Mannochmore lies south of Elgin on Speyside and draws water from a source in the nearby Mannoch Hills, after which the distillery is named. Close by, walkers in dense woodland around Millbuies Loch may glimpse the striking 'up and down' flight of the Great Spotted Woodpecker.",Scotch Whisky,700mL,Speyside,29,53.4%,Scotland,25 Year Old,Mannochmore,,
239,no_information,Scotch Whisky,700mL,23.7,43.00%,Scotland,Glenkinchie,Single Malt,no_information,no_information,no_information
240,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
241,"Aged 4yrs in Sherry Barrels sourced from Frances wine region, our 100% Tasmanian Single Malt Sherry Cask is a delicate and subtle whisky, with a slight aroma of sweetened candied nectar and a dried fruit spice on the nose, with an undertone of butter. This is followed by an extremely smooth palate with sweeten white wines, raisins, pink candy and citrus warmth with just a touch of oak. 

This water of life tells a story, hence our Tasman Whisky is housed within in a gift box worthy of the high quality tomes of old. Its sits ready to be shelved as a volume of flavour, truly highlighting our subtle differences the salt air wafting through the distillery brings.

Ready to be housed among your collection proudly. 



At the edge of the Tasman Sea, where the old drovers hut Iron House once stood watchful, we’ve been carefully crafting our Single Malt Whisky’s over the last 4 years. Unleashed and disgorged from the darkened corners of the our bonding room and hand selected by Iron House Master Distiller, Michael Briggs, you will be treated to a full flavoured experience. 

In an age old tradition we have created our premium range of Whisky, our Spiritus Frumenti, for all to indulge in. TASMAN WHISKY is absolutely uncompromising and complex and 100% Tasmanian. Mindfully distilled within the confines of our copper still, it is the synergy between the purest malts sourced from the North of the state, the pristine waters of and the cleanest ocean air of Tasmania’s untainted East Coast that balance and mature our spirit perfectly.

Good whisky is naught but a lens. It is the drink for celebrating your best days and reflecting thoughtfully on your hardest. It’s a spirit that demands a careful and discerning approach.

It is our story, but it is your Whisky.
Tasman Whisky.

The Spirit of the East.",Single Malt Whisky,700mL,East Coast Tasmania,26,47%,Australia,Tasmania,4 Years Old,,
242,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
243,no_information,no_information,no_information,Speyside,24.6,44.50%,Scotland,The Macallan,Single Malt,no_information,no_information
244,"Matured in first-fill ex-Bourbon barrels and then in 500 litre Spanish sherry butts, gives this Tullibardine 500 Sherry Finish its nutty brown colour.
There are intense toffee apple notes on the nose with a hint of oatmeal. These notes then combine with a spicy feel, then sweet dates on the finish.",Sherry Finish,700mL,23.7,43.0%,Scotland,Tullibardine,Single Malt,Whisky Liqueurs,no_information,no_information
245,Natural cask strength.,Scotch Whisky,700mL,Islay,30 Approx.,53.9%,Scotland,32 Year Old,Port Ellen,Cork,Single Malt
246,"Finished in a pinot noir cask, this single malt variety was anointed as one of the World’s Ten Best Value Whiskies in 2015 by The Spirits Business U.K. It was also recognised as a Global Whisky Master in the Super Premium category at the 2015 Global Whisky Master Awards. Eight years in American Oak and six months in French Oak (ex-pinot) adds a delightful complexity to a stunning tipple.",Australian Whisky,700mL,34,61.60%,Australia,Tasmania,8 Year Old,Hellyers Road,Screw Cap,Single Malt
247,"Produced at the oldest distillery on the Isle of Skye, Talisker Single Malt Scotch Whisky has been made by the sea since 1830, TALISKER Single Malt Scotch Whisky has been “Made By the Sea” since 1830. In fact, few single malts tell the story of their origin better. Its smell and taste instantly connect the drinker with the rugged coastal environment. Every sip is a taste of the Isle of Skye itself – a powerhouse; challenging but adored, once discovered rarely left. Like a warm welcome from a wild sea. The intense character of TALISKER comes from fresh water drawn directly from underground springs next to the distillery, two very distinctive wash stills and wooden worm tub condensers which, along with its unusual ABV of 45.8%, help set Talisker apart from other malts. Classic Talisker, with a chili kick like a mule. Sweet to start, then develops to dry, toasty notes with white pepper and chilies.",Single Malt,700mL,The Isles - Isle of Skye,25.3,45.80%,Scotland,25 Year Old,Talisker,,
248,"A deep, unhurried old Brora fully deserving of an evening’s contemplation as it takes its time to develop fully; the smoke and coastal notes take a while to arrive but it’s a classic Brora once they do, especially once a drop of water is added. Magnificent!",Scotch Whisky,700mL,26.8,48.60%,Scotland,Brora,Cork,Single Malt,no_information,no_information
249,"Sweet and soft with near perfect balance of fruit; mango, orange, figs and sweet sultanas, followed by a wave of sherry, toffee and ginger oak spice.",Scotch Whisky,700mL,Speyside,23.2,42%,Scotland,30 Year Old,Glenglassaugh,Single Malt,no_information
250,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
251,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
252,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
253,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
254,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
255,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
256,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
257,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
258,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
259,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
260,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
261,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
262,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
263,"Distilled in the year 2000, Gordon & Macphail Connoisseurs Choice Macduff offers stewed pear and peach aromas with a touch of sweet vanilla. The palate is sweet and peppery with green apples and a dark chocolate edge. Creamy with fresh fruit flavours, lime, banana and grapefruit. A great aperitif whisky with a short but fruity finish.",Scotch Whisky,700mL,Speyside,25.4,46.00%,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
264,"This Highland malt is one of only 3 with permission to use the word ‘Royal’. It is now owned by Bacardi and sits just outside of Inverness. Sweet vanilla nose with tropical fruit, mango and banana. Hints of blueberry, cranberry and vanilla pod. A delicate toasted malt and menthol edge develops. Black pepper palate with green apple and pear flavours initially. Citrus develops, orange and lime, with a creamy milk chocolate edge. Vanilla with strawberry and kiwi flavours. Finishes with a sweet cocoa butter edge.",Scotch Whisky,700mL,Highland,25.4,46,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
265,"A marriage of two casks of Amrut, made with Scottish peated barley, one matured in ex-bourbon and the other in ex-port.
Both Casks were filled in May 2012, and bottled in June 2017 at 5 years of age—creating 900 bottles only.

Nose: Milk chocolate, bonfire embers, currants and raisins 
Taste: Sweet smoke, peach, brown sugar, raisins, malted biscuits
Finish: Ginger, raisins, plum, salted chocolate, brown sugar, crystallised lemon peel",700mL,26,46%,India,Amrut,Single Malt,no_information,no_information,no_information,no_information
266,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
267,"With only 118 bottles produced worldwide and just 6 available in Australia, the Last Drop 1967 Single Malt Scotch Whisky is the ultimate in rare and collectible whiskies. Heady notes of cognac-soaked fruitcake are balanced with apricot and accented with a subtle peaty smokiness. Softens to vanilla and honey nectar, fruit and spice. Finishes with honey, smokiness and oak. Comes with a 50mL miniature, elegant leather box and booklet.",Scotch Whisky,700mL,25.1 (700mL) & 1.8 (50mL),45.40%,Scotland,48 Year Old,The Last Drop,Cork,Single Malt,no_information
268,"The Macallan No.6 is aptly named after the six pillars that form the foundations of the Macallan heritage. Almost haunting in character, the No. 6 is displayed beautifully in a Lalique decanter. Dark mahogany in colour, with Spanish oak casks delivering rich notes of fig, dates and toffee apple on the nose. Ginger and cinnamon dance elegantly around the edges, with a delicate balance of dark chocolate and sweet vanilla that lingers. Heavy and sumptuous on the palate with hints of cloves and orange, finish is silky smooth and lush.",Scotch Whisky,700mL,Speyside,23.7,43.00%,Scotland,The Macallan,Single Malt,no_information,no_information
269,no_information,Scotch Whisky,700mL,Islay,29.5,53.50%,Scotland,30 Year Old,Laphroaig,Single Malt,no_information
270,"An independent bottling from Gordon &amp; MacPhail of Glenturret single malt scotch whisky. This independent take on the Glenturret spirit offers sweet peat, ripe banana and cocoa powder with a smooth, creamy body. Truly an easy drinking Highland malt.",Scotch Whisky,700mL,Highland,24,43%,Scotland,Gordon & MacPhail,Stopper,Single Malt,no_information
271,"The oldest cask released by the distillery behind only the first two un-released casks held in bond by Hellyers Road. Age has served this single malt well. The typical Hellyers Road citrus notes and vanilla sweetness are bombarded by an explosion of fruit tingle like fizziness making this whisky very unique and a very special part of the distillery’s story, thus far.",Australian Whisky,700mL,37.2,67.40%,Australia,Tasmania,14 Year Old,Hellyers Road,Screw Cap,Single Malt
272,no_information,no_information,no_information,no_information,no_information,no_information,25 Year Old,Highland Park,Single Malt,no_information,no_information
273,no_information,no_information,no_information,no_information,no_information,no_information,Benromach,Cork,Single Malt,no_information,no_information
274,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
275,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
276,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
277,"Batch No.128 is a release of 6,000 bottles, benefits from a 10 minute chill out before drinking. The peating is highly sympathetic to Wolfburn’s underlying spirit allowing it’s natural expressiveness to still shine through, whilst offering up a new take on the Wolfburn experience.",700mL,25.4,46%,Scotland,Wolfburn,Screw Cap,Single Malt,no_information,no_information,no_information
278,"The Arran 18-year-old is a wonderfully balanced expression of the Arran Malt which displays the tremendous depth of character of the distillery. Caramelised citrus and tropical notes on a background of toasted oak on the palate. A creation of an intense, well-rounded dram with charm and personality. This is the only Distillery on the Isle of Arran and a proudly independent Scottish Company. Independently owned...independently minded.",Scotch Whisky,700mL,25.4,46.00%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
279,"Founded at the end of the whisky boom in 1898, Glen Elgin was designed by the distillery architect Charles Doig of Elgin. It is an unusually distinctive Speyside Single Malt Scotch Whisky from a little known traditional distillery that finds its home 10 miles south of where the river Lossie exits to the sea. A typical Speyside whisky, it’s complex and fragrant. On the palate it is soft and malty, delivering flavours of honey and lightly salted butter on toasted sultana loaf, plus hints of tiramisu. A characteristic heather-honey on the nose leads on to a pleasant malty palate, but never too rich. Sweet to start, then fruity, Glen Elgin whisky is a typical Speyside – complex, fragrant, with a delicious orange blossom finish. Often described as a ‘fruitcake in a bottle’ this single malt needs a sweet partner that won’t overload the palate. We suggest vanilla cheesecake.",Whisky,700mL,24,43%,Scotland,Glen Elgin,Single Malt,no_information,no_information,no_information
280,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
281,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
282,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
283,no_information,no_information,no_information,no_information,no_information,Scotland,Jura,Single Malt,no_information,no_information,no_information
284,"Vibrant, zesty, vanilla toffee and gentle smoke Only the second vatting and one of the oldest, finest whiskies Only 50 bottles of this single malt Scotch whisky are released each year Every bottle is uniquely hand-blown and individually numbered in wax Finishing touches are crafted to the bottle in silver Presented in a hand-stitched, black leather case Accompanied by a certificate of authenticity and details book Rare, sought after, historic.",Scotch Whisky,700mL,25.5,46.1%,Scotland,50 Year Old,Glenfiddich,Cork,Single Malt,no_information
285,no_information,no_information,no_information,no_information,no_information,no_information,Scotland,14 Year Old,The Singleton,cork,Single Malt
286,"Whisky: Spring Bay Sherry Cask
ABV: 46%
Tasting notes courtesy of Mark Nicholson
Colour: Dark copper
Nose: Caramel & raisins
Palate: Lifted floral notes, caramel and dried fruit sweetness with some white
pepper savory hints
Finish: Delicious long and slightly dry finish which is indicative of some very
fine old wood. A slightly smokey note that suggests peat but comes
from the heavy cask charring",Sherry Cask Matured,700mL,East Coast Tasmania,25,46%,Australia,Tasmania,Spring Bay Distiller,Cork,Single Malt
287,no_information,no_information,no_information,no_information,5 Year Old,Glasgow Distillery,Cork,Single Malt,no_information,no_information,no_information
288,"Tullibardine’s 225 Sauternes Finish is a wonderful, rich whisky, matured in first-fill ex-Bourbon barrels and finished in 225 litre French Château Suduiraut Sauternes casks.
This beautifully golden Tullibardine features hints of citrusy lime on the nose, as well as aromas of vanilla and oatmeal. On the palate, there is a touch of tropical pineapple and zingy orange zest and finishes with a creamy edge.",Sauternes Finish,700mL,23.7,43.0%,Scotland,Tullibardine,Cork,Single Malt,Whisky Liqueurs,no_information
289,"Ladyburn 42 Year Old is a single malt collectors whisky from the now demolished Ladyburn distillery in the lowlands of Scotland. The main purpose of the distillery was production of whisky for the blends produced by William Grant and Sons Ltd for brands Balvenie and Glenfiddich. However, over the decade it was in operation, a handful of 'official' single malt whiskies were bottled as well. This rare whisky is one of them.",Scotch Whisky,750mL,23.7,40.00%,Scotland,42 Year Old,Ladyburn,Cork,Single Malt,no_information
290,no_information,no_information,no_information,25.4,46.00%,Scotland,18 Year Old,AnCnoc,Stopper,Single Malt,no_information
291,"On the palate, the peat is far more prominent, impressively so, but this is still hugely rich with honeyed nuts, treacle and blackcurrant coulis. If you keep it in your mouth, this slowly gives way, delightfully, to chocolate cake made with delicious bitter cocoa and a layer of apricot jam.",700mL,25.8,46.7%,Scotland,42 Year Old,Ledaig,Cork,Single Malt,no_information,no_information
292,,700mL,32,58%,Scotland,Gordon & MacPhail,Cork,Single Malt,no_information,no_information,no_information
293,"From one of the earliest distilleries in Scotland, this is the oldest Brora bottled in the series. The whisky is a magnificently confident, smoky and sweet Brora to recall Shakespeare's timeless description of Cleopatra... 'age cannot wither her, nor custom stale her infinite variety’… If a chocolatier made a malt it would surely taste like this, with cocoa-rich shells and centres of caramel, cherry fruit and marzipan offset by a perfectly judged sea-salt piquancy.",Scotch Whisky,700mL,27.8,50.40%,Scotland,37 Year Old,Brora,Cork,Single Malt,no_information
294,The nose is full of cereal and grist. Notes of peels and malt with wood shavings and hay. The palate is of good body with a decent sweetness and plenty of fruit with barley sugar and peppy oak. The finish is long with gristy tannins.,700mL,Speyside,23.7,43%,Scotland,10 Year Old,Glenlossie,Cork,Single Malt,no_information
295,"Auchroisk distillery, (pron. Othrusk), started producing in 1974. A major contributor to some famous blends, it is seldom seen as an independently bottled whisky. The awkward name derives from the gaelic meaning shallow ford across the red stream which relates to the nearby Mulben burn and the distillery was for a period, known as The Singleton due to the difficulty of pronouncing the original name. This single cask expression has spent 14 years maturing in oak before bottling.",Scotch Whisky,700mL,Speyside,25.4,46.00%,Scotland,Berry Brothers & Rudd,Cork,Single Malt,no_information
296,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
297,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
298,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
299,"Cragganmore 25 Year Old Scotch Whisky is a limited edition, natural cask strength Single Malt. A complex wonderful balance between sweet and dry. A splendidly mature, serious and intriguing whisky full of exciting and evocative aromas and flavours, which has a depth and elegant structure worthy of any study; adding water softens things yet also dulls this fabulous complexity.",Scotch Whisky,700mL,Speyside,28.4,51.40%,Scotland,25 Year Old,Cragganmore,Cork,Single Malt
300,no_information,Scotch Whisky,700mL,Highland,26.5,48.00%,25 Year Old,Glengoyne,Cork,Single Malt,no_information
301,"A lowland malt on the traffic route to the ferries sailing to Ireland. Closed for a few years but now back in production. Nose it to find fresh herbal notes, mint and some subtle malty aromas, developing to hints of exotic fruit. Later, defined peach and a delicate touch of fresh hay. A mouth warming palate, with a touch of mustard powder. Creamy and sweet, with rounded fruity influences developing. Keep going and you may find spice and some hazelnuts. A delicate, sweet and fresh style with a long finish.",Scotch Whisky,700mL,Lowland,23.7,43.00%,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
302,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
303,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
304,"Lovingly nurtured in Sassicaia wine casks, our limited-edition single malt wood finish is brimming with luscious fruitiness and a subtle smoky edge. This beautiful Benromach Wood Finish is matured in First Fill bourbon barrels, followed by 28 months in Sassicaia casks from the fashionable wine-producing region of Bolgheri in Tuscany.",Scotch Whisky,700mL,Speyside,25,45%,Scotland,Benromach,Stopper,Single Malt,no_information
305,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
306,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
307,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
308,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
